source,activityid,facultyid,userid,work_title,year,publisher,publisher_location,isbn_print,doi,pages,page_count,authors,url,status
FAR,49334,112132208,112132208,Corrosion and High Temperature Oxidation Behavior of 316L Stainless Steel Joined with Cu-Ag Based Braze Alloys,2012.0,,,,,"316L samples of various geometries were joined under Argon atmosphere using Cu-Ag based braze alloys. Following joining, elemental and phase composition across the braze and parent metal interface was characterized with optical microscopy and SEM with EDS. Baseline electrochemical testing was performed on each of the braze alloys in the fired and unfired condition. Additionally, metal-to-metal braze specimens were prepared in order to expose the braze interface to 0.6 M NaCl electrolyte where the free corrosion potential was monitored. Following exposure to the aggressive solution, the corrosion damage morphology was characterized to determine the mode of attack and likely initiation areas. The critical potential for localized corrosion initiation was also investigated for the braze alloys when connected galvanically to 316L samples to determine the impact of brazing on localized corrosion. Initial results indicate dissimilar metal driven corrosion attack at the braze metal interface into the parent 316L as well as preferential dissolution of the Cu rich phase within the braze alloy when exposed to 0.6 M NaCl.",,[],http://scholarworks.boisestate.edu/mse_facpubs/119,"[{""id"": 49334, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2012, ""termid"": ""2011/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49335,112132208,112132208,Corrosion and high temperature oxidation behavior of 316L stainless steel joined with Cu-Ag based braze alloys,2012.0,,,,,nan,,[],,"[{""id"": 49335, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2012, ""termid"": ""2011/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49336,112132208,112132208,Corrosion Assessment of 316L Stainless Steel Joined With Cu-Ag Based Braze Alloys,2010.0,,,,,nan,,[],,"[{""id"": 49336, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2010, ""termid"": ""2010/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49337,112132208,112132208,Monitoring and Predicting Stress Corrosion Cracking of Long Term Spent Nuclear Fuel Storage,2016.0,,,,,nan,,[],,"[{""id"": 49337, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49338,112132208,112132208,Differential Gene Expression in C2C12 Cells due to Scaffold Structure-Property-Processing-Performance Correlations,2019.0,,,,,nan,,[],,"[{""id"": 49338, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2019, ""termid"": ""2018/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49339,112132208,112132208,Differential Gene Expression in C2C12 Cells due to Scaffold Structure-Property-Processing-Performance Correlations,2019.0,,,,,nan,,[],,"[{""id"": 49339, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2019, ""termid"": ""2018/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49341,112132208,112132208,Oxidation Behavior of Zr-Alloy Cladding Candidates for the TREAT Reactor,2019.0,,,,,nan,,[],,"[{""id"": 49341, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2019, ""termid"": ""2019/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49386,113153409,113153409,Space Force: The Effects of US Troop Proximity on Public Opinion in Host-States,2019.0,,,,,"How do citizens within countries hosting U.S. military personnel view that presence, and how do these views vary across space within the host country? Using new cross-national survey data from 14 countries, we examine the spatial variation of attitudes toward the U.S. military presence, which has been severely underexplored. Both the positive and negative externalities of hosting U.S. military forces are unevenly distributed across each host country. The country as a whole receives the general public goods of alliance ties with the U.S. and increased security from foreign threats, but areas surrounding U.S. bases receive far more economic benefits and interact more personally with U.S. military forces. However, they are also on the receiving end of negative externalities, from low-level nuisances like increased noise from military equipment to more serious issues like crimes committed by U.S. personnel against local civilians. We use this novel data to test the spatial variation of public opinion toward the U.S. military presence. This study has important implications for the role of U.S. forces in the politics of local communities in host nations and the effect these forces have on the social fabric in areas surrounding U.S. bases.",,[],,"[{""id"": 49386, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2019, ""termid"": ""2019/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49392,111208039,111208039,Environmental Knowledge and Wellbeing among Latina Farmers,2019.0,,,,,15,,[],,"[{""id"": 49392, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2019, ""termid"": ""2019/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49395,113153409,113153409,"The Good, Bad, and Ugly American: Explaining Variation in Global Anti-US Military Base Protests",2019.0,,,,,nan,,[],,"[{""id"": 49395, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2019, ""termid"": ""2019/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49397,113153409,113153409,Outside the Wire:U.S. Military Deployments and Host-Country Public Opinion,2020.0,,,,,"Conference at the Latin American Peace Science Meeting in Medellín, Colombia",,[],,"[{""id"": 49397, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2020, ""termid"": ""2019/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49431,114003444,114003444,"You Win Some, You Lose Some: The Effect of Federalism on Satisfaction with Democracy and Political Participation in the United States",2019.0,,,,,nan,,[],,"[{""id"": 49431, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2024, ""termid"": ""2023/03"", ""listingorder"": 4, ""completionorder"": 4}, {""id"": 49431, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2019, ""termid"": ""2018/03"", ""listingorder"": 4, ""completionorder"": 4}]"
FAR,49457,112033562,112033562,Parallel plate cold atmospheric pressure plasma source for destroying bacteria and biofilms,2018.0,,,,,nan,,[],,"[{""id"": 49457, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2018, ""termid"": ""2018/01"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49515,113153409,113153409,"Regions of Hierarchy and Security: US Troop Deployments, Spatial Relations, and Defense Burdens",2015.0,Western Political Science Association,"Las Vegas, NV",,,nan,,[],,"[{""id"": 49515, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2015, ""termid"": ""2014/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49535,113059727,113059727,Professionals vs. Amateurs? The Effectiveness of Advertising in Ballot Initiative Campaigns,2018.0,,,,,nan,,[],,"[{""id"": 49535, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2018, ""termid"": ""2017/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,49578,114002030,114002030,Environmental Militias,2019.0,,,,,nan,,[],,"[{""id"": 49578, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2019, ""termid"": ""2019/02"", ""listingorder"": 6, ""completionorder"": 6}]"
