source,activityid,facultyid,userid,work_title,year,publisher,publisher_location,isbn_print,doi,pages,page_count,authors,url,status
FAR,24094,111110070,111110070,"Turmoil in American Public Policy: Science, Democracy, and the Environment",2010,"ABC-CLIO, LLC",,,,"This book explores the intricacies of the science-policy linkage that pervades environmental policymaking in a democracy.To what extent should science inform and shape the environmental policymaking process? By what mechanisms does it do so in the United States and other liberal democracies? How can scientists most effectively discharge their duty as citizens and public trustees to ensure that environmental policymaking in the United States is scientifically sound?These are the key questions that this primary textbook for courses on American public policymaking and environmental policymaking addresses and attempts to answer. Turmoil in American Public Policy: Science, Democracy, and the Environment first lays out the basics of the policymaking process in the United States in relation to the substantive issues of environmental policymaking. Drawing on hundreds of interviews, the authors highlight the views and experiences of scientists, especially natural scientists, in their interactions with policymakers and their efforts to harness the findings of their science to rational public policy. The proper role of science and scientists in relation to environmental policymaking hinges on fundamental questions at the intersection of political philosophy and scientific epistemology. How can the experimental nature of the scientific method and the probabilistic expression of scientific results be squared with the normative language of legislation and regulation? If scientists undertake to square the circle by hardening the tentative truths of their scientific models into positive truths to underpin public policy, at what point may they be judged to have exceeded the proper limits of scientific knowledge, relinquished their role as impartial experts, and become partisan advocates demanding too much say in a democratic setting? Providing students—and secondarily policymakers, scientists, and citizen activists—a theoretical and practical knowledge of the means availed by modern American democracy for resolving this tension is the object of this progressively structured textbook.",,[],http://scholarworks.boisestate.edu/fac_books/2,"[{""id"": 24094, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2010, ""termid"": ""2009/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,24158,111201769,111201769,Families of the Heart: Surrogate Relations in the Eighteenth-Century British Novel,2022,Bucknell University Press,,,,nan,,[],,"[{""id"": 24158, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2022, ""termid"": ""2022/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,24180,111351647,111351647,Mathematical Thinking for Instruction: Data Analysis & Statistics in Grades K-8,2013,Developing Mathematical Thinking Institute,,,,nan,,[],,"[{""id"": 24180, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2013, ""termid"": ""2013/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,24184,111351647,111351647,Mathematical Thinking for Instruction Workbook 4th-8th,2011,Developing Mathematical Thinking Institute,"Boise, Idaho",,,nan,,[],,"[{""id"": 24184, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2011, ""termid"": ""2011/01"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,24185,111351647,111351647,Mathematical Thinking for Instruction Workbook Kindergarten-3rd,2011,Developing Mathematical Thinking Institute,"Boise, Idaho",,,nan,,[],,"[{""id"": 24185, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2011, ""termid"": ""2011/01"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,24186,111351647,111351647,Mathematical Thinking for Instruction Workbook 6th-12th,2011,Developing Mathematical Thinking Institute,"Boise, Idaho",,,nan,,[],,"[{""id"": 24186, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2011, ""termid"": ""2011/01"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,24206,114002030,114002030,Civil War Interventions and their Benefits: Unequal Return,2015,Lexington books,,978-0739188866,,225,,[],,"[{""id"": 24206, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2015, ""termid"": ""2014/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,24216,113017246,113017246,It's Elementary: A Parents’ Guide to K-5 Mathematics,2015,National Council of Teachers of Mathematics,,978-0-87353-701-8,,228,,[],https://www.nctm.org/Store/Products/It-s-Elementary--A-Parent-s-Guide-to-K-5-Mathematics/,"[{""id"": 24216, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2015, ""termid"": ""2015/02"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 24216, ""status"": ""Accepted"", ""term"": ""Summer"", ""year"": 2013, ""termid"": ""2013/01"", ""listingorder"": 4, ""completionorder"": 4}]"
FAR,24292,111112331,111112331,Foundations of Instructional and Performance Technology,2008,HRD Press,"Amherst, MA",,,"Whether you're studying or practicing in the fields of instructional technology and human performance technology, you need a foundation of knowledge to advance your career. Foundations of Instructional and Performance Technology will provide you with an overview of principles and practices that is clear and easy-to-understand.",,[],http://scholarworks.boisestate.edu/fac_books/83,"[{""id"": 24292, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2008, ""termid"": ""2007/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,24302,113121174,113121174,"Fictions Inc. The Corporation in Postmodern Fiction, Film, and Popular Culture",2014,Rutgers University Press,,,,nan,,[],,"[{""id"": 24302, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2014, ""termid"": ""2014/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,24317,111110314,111110314,Creating and Sustaining Civility in Nursing Education,2013,Sigma Theta Tau International Publishers,"Indianapolis, Indiana",,,nan,,[],,"[{""id"": 24317, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2013, ""termid"": ""2013/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,24382,111643688,111643688,Bitter Green,2016,Fence Books,,,,200,,[],,"[{""id"": 24382, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2018, ""termid"": ""2017/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 24382, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2013, ""termid"": ""2012/03"", ""listingorder"": 4, ""completionorder"": 4}]"
FAR,24383,111643688,111643688,Roman and Moscow Poems,2011,Bonfire Press (CSU),"Fort Collins, Colorado",,,30,,[],,"[{""id"": 24383, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2011, ""termid"": ""2010/03"", ""listingorder"": 6, ""completionorder"": 6}]"
