faculty_id,activity_id
111110410,1603
111110410,1604
111110410,1605
113116029,1644
113116029,1645
113116029,1646
113116029,1647
113116029,1648
113116029,1649
113116029,1650
113116029,1651
113116029,1652
113116029,1653
113116029,1654
113116029,1655
113116029,1656
113116029,1657
113106816,1658
113106816,1659
113106816,1660
113106816,1661
113106816,1662
113106816,1663
113106816,1664
113106816,1665
113106816,1666
113106816,1667
113106816,1668
113106816,1669
113106816,1670
113106816,1671
113083482,1709
113083482,1710
113083482,1711
113083482,1712
113083482,1713
113083482,1714
113083482,1715
111110347,1735
111110347,1736
111110347,1737
113089601,1740
113089601,1741
113089601,1742
113089601,1743
113089601,1744
113089601,1745
113089601,1746
113089601,1747
113089601,1748
113089601,1749
113089601,1750
113089601,1751
113089601,1752
113089601,1753
113089601,1754
113089601,1755
113089601,1756
113089601,1757
113089601,1758
113089601,1759
113089601,1760
113089601,1761
113089601,1762
113089601,1763
113089601,1764
113116789,1802
113116789,1803
113116789,1804
113116789,1805
113116789,1806
111110100,1861
111110100,1862
111110100,1863
111110100,1864
111110100,1865
111110100,1866
111110100,1867
111110100,1868
111110100,1869
111110100,1870
111110100,1871
111110100,1872
111110100,1874
111110100,1875
111110100,1876
111110100,1877
111110100,1878
111110100,1879
111110100,1880
111110100,1881
111110100,1882
111110100,1883
111110100,1884
111110100,1885
111110100,1886
111110100,1887
111110100,1888
111110100,1889
111110100,1890
111110100,1891
111110100,1892
111110100,1893
111110100,1894
111110100,1895
111110100,1896
111110100,1897
111110100,1898
111110100,1899
111110100,1900
111110100,1901
111110100,1902
111110100,1903
111110100,1904
111110100,1905
111110100,1906
113171989,1929
113171989,1930
113171989,1931
113171989,1932
111113451,1933
111113451,1934
111113451,1935
111113451,1936
111113451,1937
111113451,1938
111113451,1939
111113451,1940
112002659,2049
112002659,2050
112002659,2051
112002659,2053
112002659,2054
112002659,2055
112002659,2056
111110006,2057
111727002,2103
111727002,2104
111727002,2105
111727002,2106
111110070,2169
